_DT_INIT _init
FUN_00401480 FUN_00401480
FUN_004018a0 main
entry _start
FUN_00402750 deregister_tm_clones
_FINI_0 __do_global_dtors_aux
_INIT_0 frame_dummy
FUN_00402820 try_help
FUN_00402880 specify_ignore_initial
FUN_00402920 file_position
FUN_00402970 sprintc
FUN_00402a10 check_stdout
FUN_00402a80 null_action
FUN_00402a90 segv_handler
FUN_00402b20 c_stack_action
FUN_00402c00 hard_locale
FUN_00402c50 offtostr
FUN_00402d00 set_program_name
FUN_00402da0 mbsstr_trimmed_wordbounded
FUN_00403720 proper_name
FUN_004037b0 proper_name_utf8
FUN_00403aa0 strnlen1
FUN_00403ae0 trim2
FUN_00404070 version_etc_arn
FUN_00404460 version_etc_ar
FUN_00404480 version_etc_va
FUN_00404510 version_etc
FUN_004045c0 emit_bug_reporting_address
FUN_00404640 xmalloc
FUN_00404660 xnmalloc
thunk_FUN_00404640_thunk xcharalloc_thunk
FUN_00404690 xrealloc
FUN_004046d0 xnrealloc
FUN_004046f0 x2nrealloc
FUN_00404760 x2realloc
FUN_004047b0 xzalloc
FUN_004047d0 xcalloc
FUN_004047f0 xmemdup
FUN_00404820 xstrdup
FUN_00404840 xalloc_die
FUN_00404880 xmem_cd_iconv
FUN_004048a0 xstr_cd_iconv
FUN_004048d0 xstr_iconv
FUN_00404900 xstrtoumax
FUN_00404ea0 block_read
FUN_00404f40 buffer_lcm
FUN_00404fc0 rpl_mbrtowc
FUN_00405050 c_strcasecmp
FUN_004050a0 locale_charset
FUN_004054b0 mb_width_aux
FUN_004054e0 mb_copy
FUN_00405540 is_basic
FUN_00405560 knuth_morris_pratt
FUN_00405700 knuth_morris_pratt_multibyte
FUN_00406120 mbsstr
FUN_00407180 mem_cd_iconv
FUN_004073f0 str_cd_iconv
FUN_004075f0 str_iconv
FUN_004076c0 mmalloca
FUN_00407740 freea
FUN_004077d0 mbslen
FUN_004079e0 __libc_csu_init
FUN_00407a50 __libc_csu_fini
_DT_FINI _fini
__uflow_thunk __uflow_thunk
getenv_thunk getenv_thunk
free_thunk free_thunk
abort_thunk abort_thunk
__errno_location_thunk __errno_location_thunk
_exit_thunk _exit_thunk
iconv_thunk iconv_thunk
puts_thunk puts_thunk
sigaction_thunk sigaction_thunk
iswcntrl_thunk iswcntrl_thunk
write_thunk write_thunk
textdomain_thunk textdomain_thunk
fclose_thunk fclose_thunk
bindtextdomain_thunk bindtextdomain_thunk
dcgettext_thunk dcgettext_thunk
__ctype_get_mb_cur_max_thunk __ctype_get_mb_cur_max_thunk
strlen_thunk strlen_thunk
__stack_chk_fail_thunk __stack_chk_fail_thunk
getopt_long_thunk getopt_long_thunk
mbrtowc_thunk mbrtowc_thunk
strchr_thunk strchr_thunk
strrchr_thunk strrchr_thunk
lseek_thunk lseek_thunk
__assert_fail_thunk __assert_fail_thunk
__strtoul_internal_thunk __strtoul_internal_thunk
memset_thunk memset_thunk
fscanf_thunk fscanf_thunk
strnlen_thunk strnlen_thunk
close_thunk close_thunk
__strdup_thunk __strdup_thunk
memchr_thunk memchr_thunk
read_thunk read_thunk
__libc_start_main_thunk __libc_start_main_thunk
memcmp_thunk memcmp_thunk
fputs_unlocked_thunk fputs_unlocked_thunk
rawmemchr_thunk rawmemchr_thunk
calloc_thunk calloc_thunk
strcmp_thunk strcmp_thunk
sigemptyset_thunk sigemptyset_thunk
__gmon_start___thunk __gmon_start___thunk
memcpy_thunk memcpy_thunk
__xstat_thunk __xstat_thunk
wcwidth_thunk wcwidth_thunk
iswalnum_thunk iswalnum_thunk
malloc_thunk malloc_thunk
nl_langinfo_thunk nl_langinfo_thunk
ungetc_thunk ungetc_thunk
__fxstat_thunk __fxstat_thunk
realloc_thunk realloc_thunk
fdopen_thunk fdopen_thunk
setlocale_thunk setlocale_thunk
__printf_chk_thunk __printf_chk_thunk
iconv_close_thunk iconv_close_thunk
iswspace_thunk iswspace_thunk
memmove_thunk memmove_thunk
error_thunk error_thunk
open_thunk open_thunk
exit_thunk exit_thunk
fwrite_thunk fwrite_thunk
__fprintf_chk_thunk __fprintf_chk_thunk
mbsinit_thunk mbsinit_thunk
sigaltstack_thunk sigaltstack_thunk
__ctype_b_loc_thunk __ctype_b_loc_thunk
iconv_open_thunk iconv_open_thunk
__sprintf_chk_thunk __sprintf_chk_thunk
